process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
8,1x8,1024,25.8615,0.177388,400x400,0.604165,0.992437,2
4,1x4,1024,15.0442,0.304937,400x400,0.604165,0.992437,2
2,1x2,1024,8.21482,0.558444,400x400,0.604165,0.992437,2
8,1x8,1024,27.1527,0.168953,400x400,0.604165,0.992437,4
4,1x4,1024,14.9707,0.306433,400x400,0.604165,0.992437,4
2,1x2,1024,8.52764,0.537959,400x400,0.604165,0.992437,4
8,1x8,1024,26.3395,0.174169,400x400,0.604165,0.992437,8
4,1x4,1024,10.2446,0.447799,400x400,0.604165,0.992437,8
2,1x2,1024,8.47866,0.541067,400x400,0.604165,0.992437,8
